date,lp,surface,latitude,longitude,dis24_cleaned,dis24_original
1982-12-01,35096.36,0.0,31.775000000000563,121.07499999999494,35096.36,35096.36
1982-12-02,35925.67,0.0,31.775000000000563,121.07499999999494,35925.67,35925.67
1982-12-03,36088.08,0.0,31.775000000000563,121.07499999999494,36088.08,36088.08
1982-12-04,35864.36,0.0,31.775000000000563,121.07499999999494,35864.36,35864.36
1982-12-05,35382.203,0.0,31.775000000000563,121.07499999999494,35382.203,35382.203
1982-12-06,34733.656,0.0,31.775000000000563,121.07499999999494,34733.656,34733.656
1982-12-07,34201.0,0.0,31.775000000000563,121.07499999999494,34201.0,34201.0
1982-12-08,33868.562,0.0,31.775000000000563,121.07499999999494,33868.562,33868.562
1982-12-09,33540.406,0.0,31.775000000000563,121.07499999999494,33540.406,33540.406
1982-12-10,33057.766,0.0,31.775000000000563,121.07499999999494,33057.766,33057.766
1982-12-11,32342.406,0.0,31.775000000000563,121.07499999999494,32342.406,32342.406
1982-12-12,31430.531,0.0,31.775000000000563,121.07499999999494,31430.531,31430.531
1982-12-13,30475.812,0.0,31.775000000000563,121.07499999999494,30475.812,30475.812
1982-12-14,29651.922,0.0,31.775000000000563,121.07499999999494,29651.922,29651.922
1982-12-15,29019.734,0.0,31.775000000000563,121.07499999999494,29019.734,29019.734
1982-12-16,28511.844,0.0,31.775000000000563,121.07499999999494,28511.844,28511.844
1982-12-17,27995.14,0.0,31.775000000000563,121.07499999999494,27995.14,27995.14
1982-12-18,27339.11,0.0,31.775000000000563,121.07499999999494,27339.11,27339.11
1982-12-19,26497.64,0.0,31.775000000000563,121.07499999999494,26497.64,26497.64
1982-12-20,25525.719,0.0,31.775000000000563,121.07499999999494,25525.719,25525.719
1982-12-21,24515.125,0.0,31.775000000000563,121.07499999999494,24515.125,24515.125
1982-12-22,23527.375,0.0,31.775000000000563,121.07499999999494,23527.375,23527.375
1982-12-23,22575.297,0.0,31.775000000000563,121.07499999999494,22575.297,22575.297
1982-12-24,21653.438,0.0,31.775000000000563,121.07499999999494,21653.438,21653.438
1982-12-25,20767.64,0.0,31.775000000000563,121.07499999999494,20767.64,20767.64
1982-12-26,19925.344,0.0,31.775000000000563,121.07499999999494,19925.344,19925.344
1982-12-27,19118.953,0.0,31.775000000000563,121.07499999999494,19118.953,19118.953
1982-12-28,18333.547,0.0,31.775000000000563,121.07499999999494,18333.547,18333.547
1982-12-29,17571.984,0.0,31.775000000000563,121.07499999999494,17571.984,17571.984
1982-12-30,16858.11,0.0,31.775000000000563,121.07499999999494,16858.11,16858.11
1982-12-31,16221.391,0.0,31.775000000000563,121.07499999999494,16221.391,16221.391
1983-01-01,15686.891,0.0,31.775000000000563,121.07499999999494,15686.891,15686.891
1983-01-02,15278.344,0.0,31.775000000000563,121.07499999999494,15278.344,15278.344
1983-01-03,15039.531,0.0,31.775000000000563,121.07499999999494,15039.531,15039.531
1983-01-04,15021.703,0.0,31.775000000000563,121.07499999999494,15021.703,15021.703
1983-01-05,15199.516,0.0,31.775000000000563,121.07499999999494,15199.516,15199.516
1983-01-06,15408.0625,0.0,31.775000000000563,121.07499999999494,15408.0625,15408.0625
1983-01-07,15458.922,0.0,31.775000000000563,121.07499999999494,15458.922,15458.922
1983-01-08,15302.359,0.0,31.775000000000563,121.07499999999494,15302.359,15302.359
1983-01-09,15021.891,0.0,31.775000000000563,121.07499999999494,15021.891,15021.891
1983-01-10,14730.828,0.0,31.775000000000563,121.07499999999494,14730.828,14730.828
1983-01-11,14511.094,0.0,31.775000000000563,121.07499999999494,14511.094,14511.094
1983-01-12,14389.0,0.0,31.775000000000563,121.07499999999494,14389.0,14389.0
1983-01-13,14340.8125,0.0,31.775000000000563,121.07499999999494,14340.8125,14340.8125
1983-01-14,14350.094,0.0,31.775000000000563,121.07499999999494,14350.094,14350.094
1983-01-15,14442.109,0.0,31.775000000000563,121.07499999999494,14442.109,14442.109
1983-01-16,14646.672,0.0,31.775000000000563,121.07499999999494,14646.672,14646.672
1983-01-17,14978.9375,0.0,31.775000000000563,121.07499999999494,14978.9375,14978.9375
1983-01-18,15492.0625,0.0,31.775000000000563,121.07499999999494,15492.0625,15492.0625
1983-01-19,16199.969,0.0,31.775000000000563,121.07499999999494,16199.969,16199.969
1983-01-20,16928.844,0.0,31.775000000000563,121.07499999999494,16928.844,16928.844
1983-01-21,17531.36,0.0,31.775000000000563,121.07499999999494,17531.36,17531.36
1983-01-22,17904.094,0.0,31.775000000000563,121.07499999999494,17904.094,17904.094
1983-01-23,18020.75,0.0,31.775000000000563,121.07499999999494,18020.75,18020.75
1983-01-24,17923.672,0.0,31.775000000000563,121.07499999999494,17923.672,17923.672
1983-01-25,17654.453,0.0,31.775000000000563,121.07499999999494,17654.453,17654.453
1983-01-26,17255.656,0.0,31.775000000000563,121.07499999999494,17255.656,17255.656
1983-01-27,16784.688,0.0,31.775000000000563,121.07499999999494,16784.688,16784.688
1983-01-28,16296.781,0.0,31.775000000000563,121.07499999999494,16296.781,16296.781
1983-01-29,15831.25,0.0,31.775000000000563,121.07499999999494,15831.25,15831.25
1983-01-30,15407.3125,0.0,31.775000000000563,121.07499999999494,15407.3125,15407.3125
1983-01-31,15026.375,0.0,31.775000000000563,121.07499999999494,15026.375,15026.375
1983-02-01,14684.391,0.0,31.775000000000563,121.07499999999494,14684.391,14684.391
1983-02-02,14414.0,0.0,31.775000000000563,121.07499999999494,14414.0,14414.0
1983-02-03,14283.844,0.0,31.775000000000563,121.07499999999494,14283.844,14283.844
1983-02-04,14309.031,0.0,31.775000000000563,121.07499999999494,14309.031,14309.031
1983-02-05,14470.844,0.0,31.775000000000563,121.07499999999494,14470.844,14470.844
1983-02-06,14743.391,0.0,31.775000000000563,121.07499999999494,14743.391,14743.391
1983-02-07,15097.156,0.0,31.775000000000563,121.07499999999494,15097.156,15097.156
1983-02-08,15494.9375,0.0,31.775000000000563,121.07499999999494,15494.9375,15494.9375
1983-02-09,15950.547,0.0,31.775000000000563,121.07499999999494,15950.547,15950.547
1983-02-10,16517.922,0.0,31.775000000000563,121.07499999999494,16517.922,16517.922
1983-02-11,17165.547,0.0,31.775000000000563,121.07499999999494,17165.547,17165.547
